,ID,ra,dec
1433,J155857.06+273757.5,239.73773,27.632648
1434,J160853.92+261758.8,242.22466,26.299667
1435,J162255.03+235737.8,245.72928,23.960501
1436,J162506.04+234008.9,246.27518,23.669151
1438,J153020.87+321023.5,232.58694,32.173206
1440,J160543.62+271217.9,241.43173,27.204983
1441,J160953.36+263733.0,242.47232,26.625845
1443,J162218.60+243932.8,245.5775,24.659124
1444,J162628.71+240132.6,246.61963,24.025734
1445,J152940.58+323355.2,232.41907,32.565338
1446,J154128.36+311344.4,235.36816,31.228989
1448,J165022.42+233011.7,252.5934,23.503262
1449,J161310.89+313253.4,243.29539,31.548162
1450,J162535.16+291711.5,246.3965,29.286539
1451,J155522.22+351053.4,238.84258,35.181511
1452,J160023.76+341814.3,240.09901,34.303959
1453,J160630.49+332900.0,241.62703,33.483307
1454,J161427.12+315524.0,243.61301,31.923342
1455,J163104.58+284144.2,247.7691,28.695608
1456,J155156.06+362513.8,237.9836,36.42049
1457,J154731.29+353657.2,236.88037,35.615894
1458,J155915.64+335340.2,239.81516,33.894508
1459,J161851.03+301353.1,244.71263,30.231421
1460,J161155.50+320755.1,242.98126,32.131962
1461,J164006.26+263610.1,250.02609,26.602798
1462,J155201.57+360406.0,238.00653,36.06834
1463,J164151.54+264641.9,250.46474,26.778303
1465,J161240.15+330205.6,243.16728,33.034897
1466,J130703.47+133813.2,196.76447,13.637013
1468,J130750.10+144154.2,196.95874,14.6984
1469,J130425.08+151518.6,196.10448,15.255157
1470,J131041.31+150730.6,197.67212,15.125159
1471,J130828.98+154246.1,197.12076,15.712818
1472,J142407.98+121544.0,216.03323,12.262213
1473,J144934.15+111444.0,222.3923,11.245556
1474,J145753.75+105512.5,224.47397,10.920134
1475,J135429.18+132807.4,208.62158,13.468711
1476,J133624.45+142221.6,204.10187,14.372677
1477,J144427.35+121523.8,221.11397,12.256611
1478,J135323.45+142435.9,208.34772,14.409967
1479,J134858.36+145813.5,207.24316,14.970417
1480,J140007.56+143822.2,210.03149,14.639507
1481,J141448.24+140742.8,213.701,14.128543
1483,J150439.66+110457.9,226.16527,11.082756
1484,J154954.45+085140.7,237.47687,8.8613033
1486,J155228.79+295831.5,238.11995,29.97543
1487,J162221.90+254314.6,245.59126,25.720734
1488,J162952.89+242638.4,247.47037,24.443996
1489,J160505.35+290537.6,241.27228,29.093765
1491,J141418.00+122018.4,213.575,12.338451
1492,J140705.05+130013.3,211.77106,13.003706
1493,J142343.33+122724.6,215.93053,12.456833
1494,J145404.47+112239.0,223.51862,11.377494
1496,J150752.21+104156.0,226.96756,10.698883
1498,J152440.76+095809.6,231.16985,9.9693241
1499,J153236.24+093449.9,233.15099,9.5805168
1500,J143924.95+122211.5,219.85397,12.369868
1501,J161607.70+074429.8,244.03207,7.7416005
1503,J150653.42+113201.5,226.72258,11.533763
1504,J151121.46+112331.3,227.83943,11.392025
1505,J153123.89+102907.2,232.84955,10.48534
1506,J153442.17+101800.5,233.6757,10.300151
1507,J160245.90+085213.1,240.69124,8.8702993
1508,J142233.29+134301.9,215.6387,13.717191
1509,J152422.69+111354.5,231.09454,11.231804
1510,J163106.56+234957.9,247.77734,23.83275
1511,J163115.52+235257.5,247.81468,23.882637
1512,J161504.05+271833.7,243.76686,27.309364
1514,J161711.96+265007.8,244.29982,26.835497
